ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2017-0139,19/11/2017,2017,11,19,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,15,19/11/2017
2017-0140,19/11/2017,2017,11,19,CONDUCTOR,MOTO,MASCULINO,24,19/11/2017
2017-0141,23/11/2017,2017,11,23,PEATON,PEATON,FEMENINO,22,23/11/2017
2017-0143,25/11/2017,2017,11,25,CONDUCTOR,AUTO,MASCULINO,50,25/11/2017
2017-0144,26/11/2017,2017,11,26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,50,26/11/2017
2017-0145,26/11/2017,2017,11,26,CONDUCTOR,MOTO,MASCULINO,58,26/11/2017
2017-0147,28/11/2017,2017,11,28,CONDUCTOR,MOTO,MASCULINO,49,28/11/2017
2017-0148,29/11/2017,2017,11,29,PEATON,PEATON,FEMENINO,82,29/11/2017
2017-0149,30/11/2017,2017,11,30,PEATON,PEATON,MASCULINO,13,30/11/2017
2017-0150,4/12/2017,2017,12,4,PEATON,PEATON,MASCULINO,56,4/12/2017
2017-0151,4/12/2017,2017,12,4,PEATON,PEATON,MASCULINO,SD,4/12/2017
2017-0152,6/12/2017,2017,12,6,CICLISTA,BICICLETA,MASCULINO,19,6/12/2017
2017-0153,11/12/2017,2017,12,11,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,SD,12/12/2017
