N_VICTIMAS,HH,COMUNA,EDAD,TIPO_DE_CALLE_AVENIDA,TIPO_DE_CALLE_CALLE,TIPO_DE_CALLE_GRAL PAZ,ACUSADO_AUTO,ACUSADO_BICICLETA,ACUSADO_CARGAS,ACUSADO_MOTO,ACUSADO_MULTIPLE,ACUSADO_OBJETO FIJO,ACUSADO_OTRO,ACUSADO_PASAJEROS,ACUSADO_TREN,SEXO_FEMENINO,SEXO_MASCULINO
2.0,4,12.0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1.0,21,7.0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,14,1.0,56,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,18,4.0,79,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2.0,9,7.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2.0,9,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,6,1.0,76,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,2,2.0,26,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,18,5.0,34,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1.0,22,12.0,22,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1.0,7,4.0,26,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,15,9.0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,1,8.0,36,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,14,15.0,51,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,6,8.0,29,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2.0,6,8.0,39,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2.0,6,8.0,36,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,7,2.0,24,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,12,6.0,60,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1.0,19,9.0,57,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,5,15.0,23,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,14,8.0,23,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,18,8.0,47,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,12,15.0,24,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,8,4.0,55,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,11,11.0,60,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,10,7.0,25,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,22,8.0,15,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1.0,23,4.0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,19,6.0,22,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,21,11.0,50,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,6,8.0,50,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1.0,17,5.0,58,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,11,9.0,49,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1.0,10,3.0,82,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,12,1.0,13,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,1,9.0,56,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,2,4.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,17,4.0,19,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2.0,2,6.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2.0,2,6.0,30,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,9,4.0,76,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,21,7.0,77,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,9,9.0,53,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1.0,21,11.0,32,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1.0,4,1.0,27,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,13,7.0,30,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1.0,15,9.0,30,1,0,0,1,0,0,0,0,0,0,0,0,1,0
1.0,22,3.0,83,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,16,1.0,26,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1.0,10,15.0,58,1,0,0,0,0,0,0,1,0,0,0,0,1,0
1.0,9,13.0,39,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1.0,22,1.0,54,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,21,6.0,45,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1.0,2,9.0,46,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,17,1.0,32,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1.0,2,4.0,19,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1.0,5,10.0,40,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1.0,10,2.0,84,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,13,8.0,20,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.0,8,12.0,44,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,20,7.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2.0,1,4.0,28,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2.0,1,4.0,19,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.0,10,1.0,31,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,4,7.0,35,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1.0,7,4.0,26,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1.0,12,2.0,80,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,22,8.0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,10,4.0,62,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.0,0,4.0,28,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,6,6.0,28,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1.0,23,15.0,70,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,22,7.0,70,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2.0,4,4.0,24,1,0,0,0,0,1,0,0,0,0,0,0,0,1
2.0,4,4.0,30,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1.0,23,5.0,74,0,1,0,0,0,0,1,0,0,0,0,0,1,0
